character,pose,prior_status,priority,reason_summary,review_note
atlas,3,FAIL,identity-critical,"Prominent cybernetic left forearm and hand are not supported by the canonical reference, causing major anatomy/accessory drift. | Canonical jacket sleeve design is altered around the cybernetic arm. | Pose, face, hair, colors, and C badge otherwise read consistently as Atlas in a three-quarter view facing right.",review existing PNG before retry
atlas,4,FAIL,pose-or-detail,"QA response was malformed/truncated; conservative fail. Raw: {""pass"":false,""confidence"":0.94,""reasons"":[""Pose is a three-quarter left-facing view rather than a clear strict left profile."",""Canonical glove asymmetry is reversed: the reference shows the right hand gloved, while",review existing PNG before retry
atlas,6,FAIL,identity-critical,"Unapproved asymmetric mechanical gauntlet/accessory on the right hand causes canonical design drift. | Canonical reference shows a standard white glove rather than the black cybernetic glove. | Requested back view with slight over-shoulder look is clear, and core face, hair, colors, jacket, emblem, and footwear otherwise align.",review existing PNG before retry
atlas,8,FAIL,identity-critical,"Cybernetic arm is on Atlas's left side, while the canonical reference places it on his right side. | Cybernetic limb design is substantially enlarged and drifts from the canonical glove/forearm accessory. | Walking-forward pose, face, hair, palette, jacket, C badge, and footwear otherwise read clearly and consistently.",review existing PNG before retry
atlas,9,FAIL,identity-critical,"Unapproved illuminated technological forearm gauntlet causes clear accessory/wardrobe drift from the canonical master. | Jacket sleeve construction is substantially more armored and gadget-heavy than the approved design. | Pose is clearly running forward, and core facial identity, colors, C badge placement, and confident expression otherwise match.",review existing PNG before retry
atlas,11,FAIL,identity-critical,"The C faction badge is mirrored onto Atlas's right chest; the canonical reference places it on his left chest. | Requested pointing-right pose is clear, and overall identity, hair, facial features, and wardrobe otherwise closely match the reference.",review existing PNG before retry
atlas,15,FAIL,identity-critical,"Asymmetric hand detail is reversed: the approved reference has the glove on Atlas's right hand, while the candidate places it on his left hand. | The candidate adds a prominent technological forearm gauntlet not established in the approved master. | The collectible-inspection pose is clear and identity, hair, colors, jacket, and C badge otherwise closely match.",review existing PNG before retry
atlas,17,FAIL,identity-critical,"Major canonical design drift: the cybernetic right arm, glowing devices, armored left forearm, and wrist technology are absent from the approved reference. | Wardrobe is substantially more armored and technical than the canonical white/blue/gold leader jacket. | Although the concerned expression and hand-near-chest pose are clear, the unrequested accessories and altered asymmetric details require failure.",review existing PNG before retry
atlas,18,FAIL,identity-critical,"Major accessory drift: candidate has an oversized cybernetic right forearm/hand not present in the canonical reference. | Expression reads as a mild smirk rather than clearly determined. | Facial rendering and geometry appear older and more angular than the approved young-adult identity. | Fists-set stance is readable, and core hair, colors, jacket, and C badge broadly match.",review existing PNG before retry
atlas,19,FAIL,identity-critical,"Canonical armwear drifts: the candidate has a large futuristic right forearm bracer and a shortened left sleeve exposing the forearm, while the master shows full jacket sleeves with only a wrist glove. | Core face, hair, colors, chest badge placement, and relaxed standing pose otherwise match closely.",review existing PNG before retry
atlas,20,FAIL,identity-critical,"Unapproved asymmetric cybernetic forearm/gauntlet and mismatched black mechanical glove introduce accessory drift from the canonical reference. | The seated relaxed pose, face, hair, jacket colors, and C badge otherwise match Atlas clearly.",review existing PNG before retry
atlas,21,FAIL,identity-critical,"Asymmetric hand/arm design is reversed: the canonical white armored glove is on Atlas's right side, while the candidate places the major robotic gauntlet on his left. | The oversized cybernetic forearm and thigh pouch introduce unsupported accessory/wardrobe drift. | The upward gaze and focused expression are clearly readable, and the core face, hair, colors, jacket, and C badge otherwise match.",review existing PNG before retry
atlas,22,FAIL,identity-critical,"Cybernetic/gloved arm is on the wrong side relative to the canonical reference. | Canonical wardrobe drifts: the approved jacket has predominantly blue sleeves and a quilted white torso, while the candidate uses mostly white sleeves and altered paneling. | Requested downward-looking-at-object pose is clear, and facial identity, hair, colors, and C badge placement are otherwise close.",review existing PNG before retry
atlas,24,FAIL,identity-critical,"Prominent cybernetic forearm and hand are not established in the canonical reference and constitute major anatomy/accessory drift. | Sleeve and jacket construction around that arm differs from the approved blue-sleeved design. | Confident smile, facial identity, hair, colors, and C badge otherwise read consistently.",review existing PNG before retry
atlas,25,FAIL,identity-critical,"Unapproved large cybernetic forearm gauntlet and thigh-mounted equipment create significant accessory/wardrobe drift from the canonical reference. | Canonical identity, hair, skin tone, C-badge jacket, and serious focused expression otherwise read clearly. | No text, watermark, scenery, or malformed anatomy is present.",review existing PNG before retry
atlas,26,FAIL,identity-critical,"Signature white tech glove/gauntlet is on Atlas's left hand, while the canonical reference places it on his right; asymmetric detail is reversed. | Pose and core identity otherwise read correctly as Atlas leaning forward to inspect something.",review existing PNG before retry
atlas,27,FAIL,identity-critical,"Canonical gauntlet asymmetry is reversed: the approved reference places it on Atlas's right arm, while the candidate places it on his left arm.",review existing PNG before retry
atlas,28,FAIL,identity-critical,"The requested object being reached toward is absent, making the pose incomplete. | The glove/prosthetic accessory is on the opposite hand from the canonical reference; the reaching right hand should retain the signature glove. | The open grasp reads as a generic reach rather than clearly reaching carefully toward a specific object.",review existing PNG before retry
atlas,29,FAIL,identity-critical,"Requested back-to-back ready stance is not readable; Atlas is front-facing in a relaxed arms-crossed pose. | Large camera-like forearm device is an unapproved accessory/prop not present in the canonical reference. | Identity, hair, complexion, C badge, and core white/blue/gold wardrobe otherwise largely match the reference.",review existing PNG before retry
atlas,30,FAIL,identity-critical,"The C faction badge is mirrored onto Atlas's right chest instead of the canonical left chest. | The activated/raised hand is on the opposite side from the approved reference, causing left-right design drift.",review existing PNG before retry
atlas,31,FAIL,identity-critical,"Signature armored glove/gauntlet is on Atlas's left hand, while the canonical reference places it on his right; asymmetric identifier is reversed. | The gauntlet is redesigned as an overtly robotic prosthetic with a glowing palm, causing accessory drift from the canonical white glove. | Laughing expression is clear and natural, and the core face, hair, colors, jacket, and C badge otherwise match.",review existing PNG before retry
